Name,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,Statement 6,Statement 7,Statement 8,Statement 9,Statement 10,Statement 11,Statement 12,Statement 13,Statement 14,Statement 15,Statement 16,Statement 17,Statement 18,Statement 19,Statement 20,Statement 21,Statement 22
Sarah Chen,Agree,Pass,Agree,Disagree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Pass,Pass
James Okafor,Pass,Agree,Pass,Agree,Agree,Pass,Agree,Disagree,Agree,Agree,Pass,Agree,Pass,Pass,Disagree,Disagree,Pass,Disagree,Disagree,Agree,Agree,Agree
Priya Sharma,Agree,Pass,Agree,Disagree,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Pass,Agree,Disagree,Pass,Pass
Dan Mitchell,Agree,Disagree,Agree,Disagree,Pass,Agree,Agree,Agree,Pass,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree
Emma Roberts,Pass,Agree,Pass,Pass,Agree,Agree,Agree,Pass,Agree,Agree,Pass,Agree,Pass,Pass,Disagree,Disagree,Pass,Pass,Disagree,Agree,Agree,Agree
Kwame Asante,Disagree,Agree,Pass,Agree,Agree,Pass,Agree,Disagree,Agree,Agree,Pass,Agree,Pass,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree
Lisa Park,Agree,Pass,Agree,Pass,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Pass,Pass
Tom Walsh,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Pass,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Pass,Agree,Disagree,Pass,Disagree
Aisha Johnson,Agree,Pass,Agree,Pass,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Pass,Agree,Disagree,Pass,Pass
Marcus Lee,Pass,Agree,Pass,Agree,Agree,Disagree,Agree,Pass,Agree,Agree,Pass,Agree,Pass,Pass,Disagree,Disagree,Pass,Disagree,Disagree,Agree,Agree,Agree
Yuki Tanaka,Agree,Disagree,Agree,Disagree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Disagree,Pass,Pass
Ben Clarke,Agree,Disagree,Agree,Disagree,Pass,Agree,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Pass,Agree,Pass,Agree,Disagree,Agree,Disagree
Fatima Al-Hassan,Agree,Pass,Agree,Pass,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Pass,Agree
Ryan O'Brien,Pass,Agree,Pass,Agree,Agree,Pass,Agree,Pass,Agree,Agree,Pass,Agree,Pass,Agree,Pass,Disagree,Pass,Pass,Disagree,Agree,Agree,Agree
Nina Petrov,Disagree,Agree,Pass,Agree,Agree,Pass,Agree,Disagree,Agree,Agree,Pass,Agree,Pass,Agree,Disagree,Disagree,Pass,Disagree,Disagree,Agree,Agree,Agree
Chioma Obi,Pass,Agree,Pass,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Pass,Agree,Agree,Pass,Disagree,Disagree,Pass,Pass,Disagree,Agree,Agree,Agree
Alex Rivera,Agree,Pass,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Pass,Pass
Sophie Bennett,Pass,Agree,Agree,Pass,Agree,Agree,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Pass,Pass,Pass,Agree,Pass,Pass,Pass,Agree,Agree
Ravi Mehta,Agree,Pass,Agree,Pass,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Pass,Agree,Disagree,Pass,Pass
